"","service_date","from_stop_id","to_stop_id","route_id","direction_id","start_time_sec","end_time_sec","travel_time_sec","from_stop_sequence","from_stop_name","from_stop_lon","from_stop_lat","stop_sequence","stop_name","stop_lon","stop_lat"
"1","2021-10-04",70126,70144,"Green-B",1,25237,25910,673,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"2","2021-10-04",70126,70144,"Green-B",1,24638,25695,1057,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"3","2021-10-04",70126,70144,"Green-B",1,52465,53302,837,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"4","2021-10-04",70126,70144,"Green-B",1,51614,52318,704,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"5","2021-10-04",70126,70144,"Green-B",1,51398,52202,804,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"6","2021-10-04",70126,70144,"Green-B",1,51831,52661,830,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"7","2021-10-04",70126,70144,"Green-B",1,53152,53873,721,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"8","2021-10-04",70126,70144,"Green-B",1,54300,55394,1094,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"9","2021-10-04",70126,70144,"Green-B",1,53496,54295,799,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"10","2021-10-04",70126,70144,"Green-B",1,53926,54635,709,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"11","2021-10-04",70126,70144,"Green-B",1,87261,87724,463,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"12","2021-10-04",70126,70144,"Green-B",1,87471,87952,481,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"13","2021-10-04",70126,70144,"Green-B",1,86513,87185,672,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"14","2021-10-04",70126,70144,"Green-B",1,87259,87722,463,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"15","2021-10-04",70126,70144,"Green-B",1,88021,88490,469,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"16","2021-10-04",70126,70144,"Green-B",1,38089,38774,685,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"17","2021-10-04",70126,70144,"Green-B",1,37240,38225,985,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"18","2021-10-04",70126,70144,"Green-B",1,38303,38968,665,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"19","2021-10-04",70126,70144,"Green-B",1,76805,77516,711,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"20","2021-10-04",70126,70144,"Green-B",1,78365,78948,583,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"21","2021-10-04",70126,70144,"Green-B",1,77169,77846,677,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"22","2021-10-04",70126,70144,"Green-B",1,77280,77952,672,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"23","2021-10-04",70126,70144,"Green-B",1,83961,84430,469,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
"24","2021-10-04",70126,70144,"Green-B",1,82640,83342,702,8,"Allston Street",-71.137881,42.348649,14,"Boston University Central",-71.106902,42.350013
